17:12:00:453 [ALWAYS]	GUDE Logging Started
17:12:00:454 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
17:12:00:454 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
17:12:00:454 [ERROR]	Initialize resume cache pointer failure
17:12:00:454 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
17:12:00:454 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
17:12:06:447 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
17:12:06:448 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
17:12:06:448 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
17:12:06:448 [ERROR]	Initialize resume cache pointer failure
17:12:06:448 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
17:12:06:448 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
